Time,X(CH1),
Second,Volt,
-1.9999947e-01,-8.00014e-03,
-1.9599947e-01,1.59999e-02,
-1.9199948e-01,7.99990e-03,
-1.8799949e-01,-8.00014e-03,
-1.8399949e-01,-8.00014e-03,
-1.7999950e-01,1.59999e-02,
-1.7599951e-01,7.99990e-03,
-1.7199951e-01,-8.00014e-03,
-1.6799952e-01,-8.00014e-03,
-1.6399953e-01,7.99990e-03,
-1.5999953e-01,7.99990e-03,
-1.5599954e-01,-8.00014e-03,
-1.5199955e-01,7.99990e-03,
-1.4799955e-01,-8.00014e-03,
-1.4399956e-01,-8.00014e-03,
-1.3999957e-01,1.59999e-02,
-1.3599958e-01,7.99990e-03,
-1.3199958e-01,-8.00014e-03,
-1.2799959e-01,-8.00014e-03,
-1.2399959e-01,7.99990e-03,
-1.1999959e-01,-8.00014e-03,
-1.1599959e-01,7.99990e-03,
-1.1199959e-01,-8.00014e-03,
-1.0799959e-01,7.99990e-03,
-1.0399958e-01,7.99990e-03,
-9.9999584e-02,-8.00014e-03,
-9.5999584e-02,-8.00014e-03,
-9.1999583e-02,1.59999e-02,
-8.7999582e-02,7.99990e-03,
-8.3999582e-02,-8.00014e-03,
-7.9999581e-02,7.99990e-03,
-7.5999580e-02,-8.00014e-03,
-7.1999580e-02,-8.00014e-03,
-6.7999579e-02,1.59999e-02,
-6.3999578e-02,-8.00014e-03,
-5.9999578e-02,1.59999e-02,
-5.5999577e-02,-8.00014e-03,
-5.1999576e-02,1.59999e-02,
-4.7999576e-02,-8.00014e-03,
-4.3999575e-02,1.59999e-02,
-3.9999574e-02,7.99990e-03,
-3.5999574e-02,-8.00014e-03,
-3.1999573e-02,7.99990e-03,
-2.7999572e-02,-8.00014e-03,
-2.3999572e-02,7.99990e-03,
-1.9999571e-02,-8.00014e-03,
-1.5999570e-02,7.99990e-03,
-1.1999570e-02,-8.00014e-03,
-7.9995692e-03,-8.00014e-03,
-3.9995690e-03,1.59999e-02,
4.3120235e-07,7.99990e-03,
4.0004314e-03,4.88000e-01,
8.0004316e-03,4.80000e-01,
1.2000432e-02,4.96000e-01,
1.6000433e-02,4.80000e-01,
2.0000434e-02,4.96000e-01,
2.4000434e-02,4.80000e-01,
2.8000435e-02,4.96000e-01,
3.2000434e-02,4.88000e-01,
